Messzeitpunkt;Verbrauch (kWh);Qualität;
01.01.2024 00:15;0,079000;G;
01.01.2024 00:30;0,057000;G;
01.01.2024 00:45;0,045000;G;
01.01.2024 01:00;0,036000;G;
01.01.2024 01:15;0,052000;G;
01.01.2024 01:30;0,042000;G;
01.01.2024 01:45;0,049000;G;
01.01.2024 02:00;0,044000;G;
01.01.2024 02:15;0,046000;G;
01.01.2024 02:30;0,050000;G;
01.01.2024 02:45;0,044000;G;
01.01.2024 03:00;0,049000;G;
01.01.2024 03:15;0,040000;G;
01.01.2024 03:30;0,052000;G;
01.01.2024 03:45;0,040000;G;
01.01.2024 04:00;0,049000;G;
01.01.2024 04:15;0,523000;G;
01.01.2024 04:30;0,896000;G;
01.01.2024 04:45;0,576000;G;
01.01.2024 05:00;0,737000;G;
01.01.2024 05:15;0,760000;G;
01.01.2024 05:30;0,140000;G;
01.01.2024 05:45;0,362000;G;
01.01.2024 06:00;0,354000;G;
01.01.2024 06:15;0,329000;G;
01.01.2024 06:30;0,313000;G;
01.01.2024 06:45;0,278000;G;
01.01.2024 07:00;0,336000;G;
01.01.2024 07:15;0,308000;G;
01.01.2024 07:30;0,279000;G;
01.01.2024 07:45;0,283000;G;
01.01.2024 08:00;0,266000;G;
01.01.2024 08:15;0,258000;G;
01.01.2024 08:30;0,236000;G;
01.01.2024 08:45;0,213000;G;
01.01.2024 09:00;0,205000;G;
01.01.2024 09:15;0,157000;G;
01.01.2024 09:30;0,060000;G;
01.01.2024 09:45;0,008000;G;
01.01.2024 10:00;1,183000;G;
01.01.2024 10:15;2,574000;G;
01.01.2024 10:30;2,481000;G;
01.01.2024 10:45;2,132000;G;
01.01.2024 11:00;1,799000;G;
01.01.2024 11:15;1,681000;G;
01.01.2024 11:30;2,130000;G;
01.01.2024 11:45;1,907000;G;
01.01.2024 12:00;1,945000;G;
01.01.2024 12:15;1,188000;G;
01.01.2024 12:30;1,990000;G;
01.01.2024 12:45;1,192000;G;
01.01.2024 13:00;1,179000;G;
01.01.2024 13:15;0,259000;G;
01.01.2024 13:30;0,003000;G;
01.01.2024 13:45;0,006000;G;
01.01.2024 14:00;0,010000;G;
01.01.2024 14:15;0,039000;G;
01.01.2024 14:30;0,010000;G;
01.01.2024 14:45;0,009000;G;
01.01.2024 15:00;0,002000;G;
01.01.2024 15:15;0,002000;G;
01.01.2024 15:30;0,019000;G;
01.01.2024 15:45;0,018000;G;
01.01.2024 16:00;0,082000;G;
01.01.2024 16:15;0,067000;G;
01.01.2024 16:30;0,063000;G;
01.01.2024 16:45;0,059000;G;
01.01.2024 17:00;0,055000;G;
01.01.2024 17:15;0,047000;G;
01.01.2024 17:30;0,051000;G;
01.01.2024 17:45;0,047000;G;
01.01.2024 18:00;0,051000;G;
01.01.2024 18:15;0,370000;G;
01.01.2024 18:30;0,122000;G;
01.01.2024 18:45;0,105000;G;
01.01.2024 19:00;0,109000;G;
01.01.2024 19:15;0,117000;G;
01.01.2024 19:30;0,128000;G;
01.01.2024 19:45;0,145000;G;
01.01.2024 20:00;0,146000;G;
01.01.2024 20:15;0,126000;G;
01.01.2024 20:30;0,126000;G;
01.01.2024 20:45;0,113000;G;
01.01.2024 21:00;0,133000;G;
01.01.2024 21:15;0,115000;G;
01.01.2024 21:30;0,358000;G;
01.01.2024 21:45;0,081000;G;
01.01.2024 22:00;0,086000;G;
01.01.2024 22:15;0,086000;G;
01.01.2024 22:30;0,091000;G;
01.01.2024 22:45;0,084000;G;
01.01.2024 23:00;0,089000;G;
01.01.2024 23:15;0,084000;G;
01.01.2024 23:30;0,086000;G;
01.01.2024 23:45;0,086000;G;
02.01.2024 00:00;0,085000;G;
02.01.2024 00:15;0,085000;G;
02.01.2024 00:30;0,075000;G;
02.01.2024 00:45;0,083000;G;
02.01.2024 01:00;0,074000;G;
02.01.2024 01:15;0,079000;G;
02.01.2024 01:30;0,052000;G;
02.01.2024 01:45;0,051000;G;
02.01.2024 02:00;0,046000;G;
02.01.2024 02:15;0,043000;G;
02.01.2024 02:30;0,043000;G;
02.01.2024 02:45;0,053000;G;
02.01.2024 03:00;0,051000;G;
02.01.2024 03:15;0,045000;G;
02.01.2024 03:30;0,052000;G;
02.01.2024 03:45;0,042000;G;
02.01.2024 04:00;0,052000;G;
02.01.2024 04:15;0,337000;G;
02.01.2024 04:30;0,402000;G;
02.01.2024 04:45;0,369000;G;
02.01.2024 05:00;0,367000;G;
02.01.2024 05:15;0,351000;G;
02.01.2024 05:30;0,348000;G;
02.01.2024 05:45;0,349000;G;
02.01.2024 06:00;0,332000;G;
02.01.2024 06:15;0,352000;G;
02.01.2024 06:30;0,300000;G;
02.01.2024 06:45;0,342000;G;
02.01.2024 07:00;0,316000;G;
02.01.2024 07:15;0,309000;G;
02.01.2024 07:30;0,312000;G;
02.01.2024 07:45;0,298000;G;
02.01.2024 08:00;0,341000;G;
02.01.2024 08:15;0,217000;G;
02.01.2024 08:30;0,081000;G;
02.01.2024 08:45;0,004000;G;
02.01.2024 09:00;0,065000;G;
02.01.2024 09:15;0,244000;G;
02.01.2024 09:30;0,360000;G;
02.01.2024 09:45;0,023000;G;
02.01.2024 10:00;0,011000;G;
02.01.2024 10:15;0,001000;G;
02.01.2024 10:30;0,002000;G;
02.01.2024 10:45;0,008000;G;
02.01.2024 11:00;0,000000;G;
02.01.2024 11:15;0,001000;G;
02.01.2024 11:30;0,001000;G;
02.01.2024 11:45;0,001000;G;
02.01.2024 12:00;0,000000;G;
02.01.2024 12:15;0,001000;G;
02.01.2024 12:30;0,000000;G;
02.01.2024 12:45;0,001000;G;
02.01.2024 13:00;0,001000;G;
02.01.2024 13:15;0,001000;G;
02.01.2024 13:30;0,000000;G;
02.01.2024 13:45;0,001000;G;
02.01.2024 14:00;0,071000;G;
02.01.2024 14:15;0,042000;G;
02.01.2024 14:30;0,001000;G;
02.01.2024 14:45;0,132000;G;
02.01.2024 15:00;0,001000;G;
02.01.2024 15:15;0,004000;G;
02.01.2024 15:30;0,014000;G;
02.01.2024 15:45;0,075000;G;
02.01.2024 16:00;0,095000;G;
02.01.2024 16:15;0,314000;G;
02.01.2024 16:30;0,108000;G;
02.01.2024 16:45;0,142000;G;
02.01.2024 17:00;0,136000;G;
02.01.2024 17:15;0,142000;G;
02.01.2024 17:30;0,110000;G;
02.01.2024 17:45;0,242000;G;
02.01.2024 18:00;0,577000;G;
02.01.2024 18:15;0,264000;G;
02.01.2024 18:30;0,102000;G;
02.01.2024 18:45;0,117000;G;
02.01.2024 19:00;0,128000;G;
02.01.2024 19:15;0,119000;G;
02.01.2024 19:30;0,098000;G;
02.01.2024 19:45;0,080000;G;
02.01.2024 20:00;0,099000;G;
02.01.2024 20:15;0,077000;G;
02.01.2024 20:30;0,126000;G;
02.01.2024 20:45;0,121000;G;
02.01.2024 21:00;0,113000;G;
02.01.2024 21:15;0,111000;G;
02.01.2024 21:30;0,089000;G;
02.01.2024 21:45;0,083000;G;
02.01.2024 22:00;0,092000;G;
02.01.2024 22:15;0,090000;G;
02.01.2024 22:30;0,083000;G;
02.01.2024 22:45;0,088000;G;
02.01.2024 23:00;0,081000;G;
02.01.2024 23:15;0,089000;G;
02.01.2024 23:30;0,081000;G;
02.01.2024 23:45;0,080000;G;
03.01.2024 00:00;0,086000;G;
